id_venta,producto_id,cliente_id,fecha,cantidad,precio
1,140,29,2024-01-04,6,20.08
2,147,71,2024-02-01,5,69.93
3,114,36,2024-01-14,3,28.1
4,143,190,2024-03-10,1,102.91
5,105,152,2024-02-24,1,22.14
6,102,8,2024-01-12,2,85.1
7,113,60,2024-03-05,4,28.58
8,138,7,2024-03-12,1,84.4
9,112,184,2024-03-24,1,106.82
10,144,140,2024-02-23,1,38.14
11,114,115,2024-03-16,4,24.35
12,117,2,2024-01-21,1,69.47
13,144,109,2024-02-13,3,36.35
14,117,40,2024-01-28,4,59.78
15,148,87,2024-01-14,2,62.66
16,105,98,2024-01-13,4,23.51
17,122,89,2024-03-18,2,35.23
18,116,12,2024-02-28,2,38.59
19,134,32,2024-02-18,3,119.24
20,105,142,2024-02-07,5,22.81
21,140,159,2024-02-16,1,19.84
22,136,50,2024-03-31,4,40.52
23,104,12,2024-03-25,4,22.91
24,114,198,2024-02-07,2,25.53
25,105,60,2024-01-13,1,21.14
26,124,72,2024-02-28,1,59.02
27,140,94,2024-01-21,2,19.06
28,123,91,2024-01-27,5,44.77
29,142,69,2024-03-30,2,9.41
30,143,166,2024-01-10,1,100.3
31,138,163,2024-01-22,1,78.02
32,134,187,2024-02-01,5,123.2
33,110,119,2024-02-18,3,7.92
34,117,164,2024-03-29,4,61.25
35,135,57,2024-03-28,5,98.74
36,120,197,2024-01-08,4,81.33
37,114,9,2024-02-10,2,23.89
38,125,69,2024-01-09,1,93.91
39,113,146,2024-02-10,4,31.54
40,113,168,2024-03-04,1,29.48
41,125,165,2024-02-28,2,90.0
42,109,68,2024-01-18,1,83.62
43,115,191,2024-03-12,5,25.17
44,134,68,2024-03-15,2,120.76
45,127,150,2024-02-21,2,70.19
46,123,57,2024-01-18,6,44.79
47,132,127,2024-01-12,2,11.98
48,148,13,2024-01-15,1,61.58
49,109,161,2024-01-21,3,86.48
50,143,109,2024-03-17,1,104.72
51,104,99,2024-02-18,5,21.75
52,138,120,2024-03-08,1,83.51
53,116,142,2024-01-02,6,37.93
54,143,185,2024-01-15,3,115.3
55,143,138,2024-02-04,1,114.57
56,149,165,2024-02-13,2,26.95
57,107,76,2024-02-25,3,105.36
58,110,117,2024-01-01,1,7.86
59,146,185,2024-02-03,2,38.29
60,132,196,2024-01-23,1,12.71
61,132,28,2024-03-21,3,11.27
62,119,164,2024-03-05,2,36.38
63,138,51,2024-01-20,3,78.24
64,123,196,2024-01-21,3,46.06
65,134,200,2024-03-08,5,107.64
66,100,154,2024-02-11,2,44.35
67,131,5,2024-01-15,5,26.47
68,123,79,2024-01-31,1,48.64
69,103,62,2024-03-13,4,74.67
70,105,22,2024-03-03,2,21.76
71,104,195,2024-03-09,1,24.76
72,149,33,2024-01-17,5,26.96
73,142,122,2024-03-11,2,8.68
74,110,68,2024-03-08,3,7.96
75,138,109,2024-01-28,5,88.37
76,134,194,2024-03-29,3,106.4
77,112,183,2024-02-09,1,108.76
78,125,172,2024-03-24,3,85.95
79,123,113,2024-03-07,1,48.67
80,128,31,2024-02-01,1,68.17
81,114,17,2024-02-13,2,26.9
82,101,151,2024-03-11,3,108.03
83,114,151,2024-01-29,3,24.55
84,100,19,2024-03-31,2,50.44
